Category,Component,D,C,B,A
Assessments,,complete all,complete all,complete all,complete all
,ELTA,5,6,6,6
,SLTA,-,0,2,4
,Final (ACS) Exam,15,22,29,36
WileyPLUS etc.,,complete 2,complete 3,complete 3,complete 3
,ORION diagnostic,50%,60%,70%,80%
,ORION proficiency,50%,60%,70%,80%
,Mastery,50%,60%,70%,80%
,i<clicker,50%,60%,70%,80%
Other,,,,complete 1,complete 2
,Connections,,,Yes,Yes
,Synthesis,,,Yes,Yes
,Final exam surplus,,,36 points,43 points
,,,,,
,,,,,
,,,,,
