vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,mastery_points,parent_guids,ratings,,,,,,,
a,group,Learning Targets,,,,,,,,,,,,,,,
b,group,AEP,,,,,,,,,,,,,,,
qqvu,outcome,Learning Target 1,,LT1,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
hjie,outcome,Learning Target 2,,LT2,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
nuid,outcome,Learning Target 3,,LT3,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
ghoc,outcome,Learning Target 4,,LT4,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
arjz,outcome,Learning Target 5,,LT5,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
fcyk,outcome,Learning Target 6,,LT6,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
bwzs,outcome,Learning Target 7,,LT7,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
asaz,outcome,Learning Target 8,,LT8,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
wnrd,outcome,Learning Target 9,,LT9,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
ptpk,outcome,Learning Target 10,,LT10,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
zuor,outcome,Learning Target 11,,LT11,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
fbba,outcome,Learning Target 12,,LT12,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
nccr,outcome,Learning Target 13,,LT13,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
wije,outcome,Learning Target 14,,LT14,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
kcjh,outcome,Learning Target 15,,LT15,highest,,active,2,a,2,Mastery,1,Proficiency,0,No Rating,,
droo,outcome,AEP 1,,AEP1,highest,,active,2,b,3,Excellent,2,Meets Expectations,1,Progressing,0,Not Assessable
wbxd,outcome,AEP 2,,AEP2,highest,,active,2,b,3,Excellent,2,Meets Expectations,1,Progressing,0,Not Assessable
